# prefix,country_code,region_code,city,postal

# Europe, MENA and Antarctica
# IPv4
82.38.223.0/24,GB,GB-LND,London,
# IPv6
2a12:bec0:390::/48,GB,GB-LND,London,
# IPv6
2a12:bec4:1010::/48,GB,GB-LND,London,

# Asia and Pacific
# IPv4
109.105.193.0/24,HK,,Hong Kong,
109.105.193.160/27,TW,TW-TPE,Taipei,
109.105.193.192/27,SG,SG-01,Singapore,
103.76.86.0/24,JP,JP-13,Tokyo,
# IPv6
2a12:bec4:2020::/48,HK,,Hong Kong,
2a12:bec4:2021::/48,TW,TW-TPE,Taipei,
2a12:bec4:2022::/48,SG,SG-01,Singapore,
2a12:bec4:2023::/48,JP,JP-13,Tokyo,
2a12:bec4:2024::/48,MY,MY-14,Kuala Lumpur,

# North America
# IPv4
74.2.4.0/24,US,US-CA,Los Angeles,
